user_id,tariff_plan,date_start
168336,C,22/10/2019
166418,C,02/08/2019
168132,C,15/10/2019
168326,C,22/10/2019
168293,C,21/10/2019
168381,C,23/10/2019
168040,C,10/10/2019
168221,C,17/10/2019
168092,C,14/10/2019
168261,C,18/10/2019
168024,C,09/10/2019
168227,C,17/10/2019
168276,C,18/10/2019
168144,C,15/10/2019
168208,C,16/10/2019
167998,C,09/10/2019
168288,C,21/10/2019
168275,C,18/10/2019
168256,C,18/10/2019
168228,C,17/10/2019
167756,C,27/09/2019
167653,C,24/09/2019
168030,C,09/10/2019
168110,C,14/10/2019
168155,C,15/10/2019
167950,C,07/10/2019
167513,C,19/09/2019
167968,C,08/10/2019
168073,C,11/10/2019
166628,C,12/08/2019
167872,C,03/10/2019
167569,C,20/09/2019
166895,C,23/08/2019
167733,C,27/09/2019
168031,C,10/10/2019
168016,C,09/10/2019
167870,C,03/10/2019
167501,C,18/09/2019
168101,C,14/10/2019
168011,C,09/10/2019
167921,C,04/10/2019
168064,C,11/10/2019
167976,C,08/10/2019
167734,C,27/09/2019
167954,C,07/10/2019
168042,C,10/10/2019
168004,C,09/10/2019
166482,C,05/08/2019
168022,C,09/10/2019
167792,C,30/09/2019
168010,C,09/10/2019
168019,C,09/10/2019
167216,C,06/09/2019
167027,C,28/08/2019
167943,C,07/10/2019
167917,C,04/10/2019
167941,C,07/10/2019
167552,C,20/09/2019
167936,C,07/10/2019
167700,C,26/09/2019
167852,C,02/10/2019
167622,C,23/09/2019
167575,C,20/09/2019
167798,C,01/10/2019
167927,C,07/10/2019
167878,C,03/10/2019
167827,C,02/10/2019
166940,C,26/08/2019
167335,C,12/09/2019
167888,C,04/10/2019
167906,C,04/10/2019
167816,C,01/10/2019
167499,C,18/09/2019
167665,C,24/09/2019
167709,C,26/09/2019
167805,C,01/10/2019
166947,C,26/08/2019
167729,C,26/09/2019
167630,C,24/09/2019
166408,C,02/08/2019
166574,C,09/08/2019
168317,C,21/10/2019
167571,C,20/09/2019
167641,C,24/09/2019
166629,C,12/08/2019
168271,C,18/10/2019
167535,C,19/09/2019
167781,C,30/09/2019
167598,C,23/09/2019
166869,C,22/08/2019
167660,C,24/09/2019
167545,C,19/09/2019
166729,C,16/08/2019
167691,C,25/09/2019
167682,C,25/09/2019
167039,C,29/08/2019
167466,C,17/09/2019
167672,C,25/09/2019
167664,C,24/09/2019
167650,C,24/09/2019
167567,C,20/09/2019
167644,C,24/09/2019
167618,C,23/09/2019
167744,C,27/09/2019
167861,C,03/10/2019
167370,C,13/09/2019
167408,C,16/09/2019
166585,C,09/08/2019
167683,C,25/09/2019
167506,C,18/09/2019
166874,C,22/08/2019
167643,C,24/09/2019
167627,C,24/09/2019
167455,C,17/09/2019
167533,C,19/09/2019
167532,C,19/09/2019
166688,C,15/08/2019
167209,C,06/09/2019
167526,C,19/09/2019
167456,C,17/09/2019
167494,C,18/09/2019
167500,C,18/09/2019
167159,C,04/09/2019
167430,C,16/09/2019
167482,C,18/09/2019
167450,C,17/09/2019
167488,C,18/09/2019
167434,C,16/09/2019
167016,C,28/08/2019
167001,C,28/08/2019
167195,C,05/09/2019
167425,C,16/09/2019
166645,C,13/08/2019
166397,C,01/08/2019
166881,C,22/08/2019
167107,C,02/09/2019
167382,C,13/09/2019
167199,C,05/09/2019
167252,C,09/09/2019
167277,C,10/09/2019
167031,C,29/08/2019
167059,C,29/08/2019
166631,C,12/08/2019
167272,C,10/09/2019
167286,C,10/09/2019
167210,C,06/09/2019
167200,C,06/09/2019
167192,C,05/09/2019
167235,C,09/09/2019
167242,C,09/09/2019
167246,C,09/09/2019
167188,C,05/09/2019
167019,C,28/08/2019
167109,C,02/09/2019
167150,C,04/09/2019
167162,C,04/09/2019
166889,C,22/08/2019
167143,C,04/09/2019
166985,C,27/08/2019
167079,C,30/08/2019
167052,C,29/08/2019
166726,C,16/08/2019
166833,C,21/08/2019
167102,C,02/09/2019
166617,C,12/08/2019
166917,C,23/08/2019
166938,C,26/08/2019
166983,C,27/08/2019
166973,C,27/08/2019
167003,C,28/08/2019
